symbol,tx_server_time,tx_local_time,bd_server_time,bd_local_time,price,iopv,premium_rate,index_price,fx_rate,sentiment,tick_vol,tick_amt,tick_vwap,interval_s,bp1,bv1,bp2,bv2,bp3,bv3,bp4,bv4,bp5,bv5,sp1,sv1,sp2,sv2,sp3,sv3,sp4,sv4,sp5,sv5,idx_delay_ms,fut_delay_ms,data_flags
sh513130,09:30:02,1765935004576,09:31:04,1765935004460,0.708,0.7094,-0.1973,5413.19,0.9045,5.486,0,0,0.708,0.0,0.707,10281200,0.706,26068500,0.705,33414200,0.704,22061600,0.703,22593700,0.708,7534500,0.709,16722700,0.710,32752200,0.711,33324100,0.712,23047000,115,0,1
sh513130,09:30:02,1765935005570,09:31:04,1765935005100,0.708,0.7094,-0.1973,5413.19,0.9045,3.7059,0,0,0.708,0.994,0.707,10281200,0.706,26068500,0.705,33414200,0.704,22061600,0.703,22593700,0.708,7534500,0.709,16722700,0.710,32752200,0.711,33324100,0.712,23047000,470,0,0
sh513130,09:30:05,1765935006568,09:31:04,1765935005100,0.708,0.7087,-0.0988,5413.19,0.9045,5.3691,7157800,5066561,0.7078,0.998,0.707,11166300,0.706,27678100,0.705,33595300,0.704,23086300,0.703,22676100,0.708,3137500,0.709,16584400,0.710,31728700,0.711,33652900,0.712,23758600,1468,0,0
sh513130,09:30:05,1765935007563,09:31:06,1765935007121,0.708,0.7087,-0.0988,5415.2,0.9045,3.6675,0,0,0.708,0.995,0.707,11166300,0.706,27678100,0.705,33595300,0.704,23086300,0.703,22676100,0.708,3137500,0.709,16584400,0.710,31728700,0.711,33652900,0.712,23758600,442,0,0
sh513130,09:30:05,1765935008566,09:31:06,1765935007121,0.708,0.7087,-0.0988,5415.2,0.9045,2.0294,0,0,0.708,1.003,0.707,11166300,0.706,27678100,0.705,33595300,0.704,23086300,0.703,22676100,0.708,3137500,0.709,16584400,0.710,31728700,0.711,33652900,0.712,23758600,1444,0,0
sh513130,09:30:05,1765935009572,09:31:06,1765935007121,0.708,0.7087,-0.0988,5415.2,0.9045,1.9899,0,0,0.708,1.006,0.707,11166300,0.706,27678100,0.705,33595300,0.704,23086300,0.703,22676100,0.708,3137500,0.709,16584400,0.710,31728700,0.711,33652900,0.712,23758600,2450,0,0
sh513130,09:30:08,1765935010587,09:31:08,1765935009926,0.709,0.7087,0.0423,5412.34,0.9045,3.3102,5047300,3573666,0.708,1.015,0.708,79600,0.707,14947800,0.706,27979400,0.705,33725700,0.704,24274800,0.709,19371900,0.710,32047600,0.711,34096000,0.712,24709100,0.713,25042400,661,0,0
sh513130,09:30:08,1765935011575,09:31:10,1765935011462,0.709,0.7087,0.0423,5411.9,0.9045,4.8356,0,0,0.709,0.988,0.708,79600,0.707,14947800,0.706,27979400,0.705,33725700,0.704,24274800,0.709,19371900,0.710,32047600,0.711,34096000,0.712,24709100,0.713,25042400,112,0,0
sh513130,09:30:08,1765935012590,09:31:12,1765935012422,0.709,0.7087,0.0423,5411.05,0.9045,4.3745,0,0,0.709,1.015,0.708,79600,0.707,14947800,0.706,27979400,0.705,33725700,0.704,24274800,0.709,19371900,0.710,32047600,0.711,34096000,0.712,24709100,0.713,25042400,167,0,0
sh513130,09:30:11,1765935013590,09:31:12,1765935012422,0.708,0.7094,-0.1973,5411.05,0.9045,4.4662,3519900,2492155,0.708,1.0,0.708,2523000,0.707,15643900,0.706,28040900,0.705,33757600,0.704,23470800,0.709,20318000,0.710,27769100,0.711,34735400,0.712,28030600,0.713,26513600,1168,0,0
sh513130,09:30:11,1765935014598,09:31:14,1765935014432,0.708,0.7094,-0.1973,5410.84,0.9045,3.3637,0,0,0.708,1.008,0.708,2523000,0.707,15643900,0.706,28040900,0.705,33757600,0.704,23470800,0.709,20318000,0.710,27769100,0.711,34735400,0.712,28030600,0.713,26513600,166,0,0
sh513130,09:30:14,1765935015605,09:31:14,1765935014432,0.708,0.7087,-0.0988,5410.84,0.9045,5.1439,2597200,1840989,0.7088,1.007,0.708,28341400,0.707,17584000,0.706,28881400,0.705,34920600,0.704,22719700,0.709,18371700,0.710,27537300,0.711,34940000,0.712,28151600,0.713,26565700,1173,0,0
sh513130,09:30:11,1765935016607,09:31:16,1765935016597,0.708,0.7094,-0.1973,5410.01,0.9045,4.3036,0,0,0.708,1.001,0.708,2523000,0.707,15643900,0.706,28040900,0.705,33757600,0.704,23470800,0.709,20318000,0.710,27769100,0.711,34735400,0.712,28030600,0.713,26513600,9,0,1
sh513130,09:30:14,1765935017607,09:31:16,1765935016632,0.708,0.7087,-0.0988,5410.01,0.9045,3.5204,2597200,1840989,0.7088,1.0,0.708,28341400,0.707,17584000,0.706,28881400,0.705,34920600,0.704,22719700,0.709,18371700,0.710,27537300,0.711,34940000,0.712,28151600,0.713,26565700,975,0,0
sh513130,09:30:14,1765935018611,09:31:18,1765935018495,0.708,0.7087,-0.0988,5409.18,0.9045,2.8473,0,0,0.708,1.003,0.708,28341400,0.707,17584000,0.706,28881400,0.705,34920600,0.704,22719700,0.709,18371700,0.710,27537300,0.711,34940000,0.712,28151600,0.713,26565700,115,0,0
